Beds,SqFt,Built,Garage,FullBaths,HalfBaths,LotSqFt,AboveMeanPrice
3,2336,2004,2,2,1,2178,0
4,2106,2005,2,2,1,2178,0
3,1410,1999,1,2,0,3049,0
3,1769,1994,1,2,1,1742,0
4,2283,1999,2,3,1,2614,0
3,1768,1995,0,3,1,2178,0
3,1864,1992,0,3,1,1742,0
3,2330,1996,0,2,1,1742,0
2,925,1991,0,1,0,0,0
3,2048,2020,2,2,1,0,0
3,2164,1994,1,2,1,3049,0
3,2356,1999,1,2,1,2178,0
3,2074,1988,1,2,1,1742,0
3,2116,1988,1,2,1,1742,0
3,1520,1996,1,2,1,1307,0
4,2508,1998,2,3,1,2178,0
4,2232,1996,0,3,1,2614,0
3,1800,1989,0,2,1,1742,0
2,1548,1991,0,2,1,1742,0
4,2173,1993,0,3,1,1742,0
3,1934,1994,0,2,1,1742,0
3,1660,1999,0,2,1,1307,0
2,1648,2000,0,2,1,1307,0
3,1335,1999,0,2,0,0,0
2,1184,1993,0,2,0,0,0
2,1734,2006,1,2,1,1742,0
3,2802,2000,1,2,1,3049,0
3,2986,2001,1,2,1,3049,1
3,2774,2004,1,2,1,3049,1
2,2630,2000,2,2,1,6098,1
3,3430,2001,2,3,1,5227,1
4,3823,2002,2,3,1,4356,1
3,3098,2004,2,3,1,4356,1
3,2836,2005,2,2,1,4356,1
3,2965,2006,2,3,1,3920,1
3,1480,1995,2,3,1,2178,0
4,2830,2005,1,3,1,3920,1
2,1598,2003,1,2,0,0,0
3,2140,1995,2,2,1,4792,0
2,1734,2007,1,3,1,2614,0
3,1943,2019,1,2,0,0,0
3,1953,2018,1,2,0,0,0
2,2022,2019,1,2,0,0,0
2,1032,2018,1,2,0,0,0
2,1396,2019,1,2,0,0,0
3,2661,2018,2,2,1,4356,1
3,2016,2003,1,3,1,1742,0
3,1752,2007,1,2,1,0,0
4,2957,2007,2,2,1,4792,1
4,3227,2014,2,3,1,3485,1
3,2167,2014,2,2,1,2614,1
3,3957,2017,2,3,1,2614,1
4,3168,2018,2,3,1,2178,1
3,3065,2020,2,3,1,2178,1
3,2318,2014,2,3,1,1742,1
3,2238,2016,2,3,1,1742,1
4,4169,2019,2,5,0,0,1
4,2526,2004,2,3,1,3485,1
3,3028,2006,2,2,1,5227,1
3,2526,2007,2,3,1,3920,1
3,2952,2014,2,3,1,3049,1
3,3083,2016,2,3,1,2614,1
3,2304,2014,2,3,1,1742,0
4,3008,2012,2,3,1,3049,1
3,1862,1999,1,2,1,1742,0
2,1862,1999,1,2,1,1742,0
3,1862,1997,1,2,1,1307,0
2,1862,1997,1,2,1,1307,0
2,1210,2019,1,2,0,0,0
2,1162,2019,1,2,0,0,0
2,1210,2019,1,2,0,0,0
2,1029,2019,1,2,0,0,0
2,1389,2019,1,2,0,0,0
3,2568,2003,2,2,1,3049,1
3,2148,2004,1,2,1,2178,0
3,1226,1989,0,2,0,0,0
3,2452,2015,1,2,1,0,0
3,1616,2015,1,2,1,0,0
3,1625,2015,1,2,1,0,0
3,2452,2015,1,2,1,0,0
3,2452,2016,1,2,1,0,0
3,2463,2016,1,2,1,0,0
2,1662,1987,0,3,1,2178,0
3,2618,1991,1,2,1,2614,0
3,2104,1994,1,3,1,1742,0
3,2124,1995,1,2,1,1742,0
5,5060,2006,2,4,1,4356,1
3,3114,2006,2,2,1,5663,1
3,1816,2005,2,2,0,0,0
2,1340,1993,0,2,1,0,0
2,1068,1994,1,2,0,0,0
3,2485,1987,1,2,1,0,0
2,936,1971,0,1,0,0,0
1,822,1971,0,1,0,0,0
1,822,1971,0,1,0,0,0
3,1461,1985,0,2,0,2178,0
3,1708,1988,0,2,1,1742,0
3,1566,1983,0,2,0,1307,0
2,1022,1985,0,1,0,1307,0
3,2664,2015,1,2,1,0,0
3,2664,2016,1,2,1,0,0
2,1120,1974,0,1,1,2178,0
3,1894,1998,0,3,1,1307,0
3,2018,1999,1,2,1,2178,0
3,2018,2000,1,2,1,2178,0
4,2773,2002,2,4,1,2614,0
3,2634,2002,2,2,1,2178,0
4,2426,1993,2,2,1,8276,1
3,1542,1986,0,2,1,3920,0
3,2620,1997,2,2,1,2178,1
3,1818,1995,1,3,1,2178,0
3,1040,1986,0,2,0,0,0
2,942,1985,0,2,0,0,0
1,792,1988,0,1,0,0,0
2,1003,1990,0,2,0,0,0
2,1003,1991,0,2,0,0,0
4,1960,1988,0,3,1,1742,0
4,2020,2012,2,3,1,3920,0
3,2338,1994,1,2,1,2614,0
3,1848,1993,1,2,1,1742,0
3,1831,1994,1,2,1,2178,0
3,2120,1995,1,3,1,2178,0
3,1840,1997,1,2,1,2178,0
2,1593,2004,1,2,1,0,0
3,2652,2002,2,3,1,3485,0
6,5216,2005,2,5,1,6098,1
4,3742,2005,2,3,1,5227,1
3,2844,2003,2,3,1,3920,1
5,4706,2006,2,3,1,3920,1
4,4121,2006,3,4,1,4356,1
3,1614,2007,1,2,1,0,0
4,3405,2007,2,3,1,3049,1
